,assortativity,ami,ami_resolution,ari,ari_resolution,sparsity,num_genes_kept,num_cells,num_em_iterations,num_categories,dataset_name,truth_class_name,source_url,paper_url,reported_cell_count,reported_truth_class
GmGM,0.14188397119001608,0.5596278491446592,0.92,0.5040203499021177,0.92,0.18151348054266042,984,993,11,3,E-MTAB-10596,Sample Characteristic[growth condition],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-10596/results/cell-plots,https://europepmc.org/article/MED/35217915,993,growth condition
GmGM+nonpara,0.11330441335599914,0.563669840531031,0.9600000000000001,0.5069736611244116,0.9600000000000001,0.18151348054266042,984,993,11,3,E-MTAB-10596,Sample Characteristic[growth condition],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-10596/results/cell-plots,https://europepmc.org/article/MED/35217915,993,growth condition
Basic,0.09334384887901177,0.7668490455180522,0.19999999999999998,0.8272236011006273,0.19999999999999998,0.18151348054266042,984,993,11,3,E-MTAB-10596,Sample Characteristic[growth condition],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-10596/results/cell-plots,https://europepmc.org/article/MED/35217915,993,growth condition
EM,0.504659558391403,0.4155570878747341,0.22,0.3556274952773993,0.22,0.8194444444444444,70,72,20,4,E-GEOD-75367,Sample Characteristic[facs marker],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75367/results/cell-plots,https://europepmc.org/article/MED/27556950,72,none advertised
GmGM,0.21401055467723648,0.45693210579644006,1.3,0.39390996066242534,1.2,0.8194444444444444,70,72,20,4,E-GEOD-75367,Sample Characteristic[facs marker],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75367/results/cell-plots,https://europepmc.org/article/MED/27556950,72,none advertised
GmGM+nonpara,0.2066794415548864,0.45264335240750664,1.32,0.35704321223302915,1.1,0.8194444444444444,70,72,20,4,E-GEOD-75367,Sample Characteristic[facs marker],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75367/results/cell-plots,https://europepmc.org/article/MED/27556950,72,none advertised
Basic,0.2066794415548864,0.31265535885265694,1.8800000000000001,0.19245235472298228,0.56,0.8194444444444444,70,72,20,4,E-GEOD-75367,Sample Characteristic[facs marker],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75367/results/cell-plots,https://europepmc.org/article/MED/27556950,72,none advertised
EM,0.27481596394909086,0.6639837454262877,0.56,0.6441215261399867,0.56,0.8923369097031874,226,226,20,3,E-GEOD-81383,Sample Characteristic[cell line],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-81383/results/cell-plots,https://europepmc.org/article/MED/27903987,226,none advertised
GmGM,-0.36163027851148494,0.5394382130630042,1.48,0.43681889971394555,0.02,0.8923369097031874,226,226,20,3,E-GEOD-81383,Sample Characteristic[cell line],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-81383/results/cell-plots,https://europepmc.org/article/MED/27903987,226,none advertised
GmGM+nonpara,-0.36163027851148494,0.5394382130630042,1.48,0.43681889971394555,0.02,0.8923369097031874,226,226,20,3,E-GEOD-81383,Sample Characteristic[cell line],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-81383/results/cell-plots,https://europepmc.org/article/MED/27903987,226,none advertised
Basic,-0.4068018565886951,0.13016360088299883,1.8800000000000001,0.05555097942216977,0.36000000000000004,0.8923369097031874,226,226,20,3,E-GEOD-81383,Sample Characteristic[cell line],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-81383/results/cell-plots,https://europepmc.org/article/MED/27903987,226,none advertised
EM,0.009687151663838253,0.26984699633486087,0.02,0.16012878563108654,0.02,0.4459810577487218,291,287,16,3,E-MTAB-7381,Sample Characteristic[individual],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7381/results/cell-plots,https://europepmc.org/article/MED/30692988,287,none advertised
GmGM,0.2701664532650449,0.19225466100152033,1.08,0.12430266731584845,0.66,0.4459810577487218,291,287,16,3,E-MTAB-7381,Sample Characteristic[individual],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7381/results/cell-plots,https://europepmc.org/article/MED/30692988,287,none advertised
GmGM+nonpara,0.2701664532650449,0.19225466100152033,1.08,0.12430266731584845,0.66,0.4459810577487218,291,287,16,3,E-MTAB-7381,Sample Characteristic[individual],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7381/results/cell-plots,https://europepmc.org/article/MED/30692988,287,none advertised
Basic,0.2701664532650449,0.11915885913105431,1.84,0.03645926800949666,1.32,0.4459810577487218,291,287,16,3,E-MTAB-7381,Sample Characteristic[individual],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7381/results/cell-plots,https://europepmc.org/article/MED/30692988,287,none advertised
EM,0.373203828932425,0.7563997804825248,0.78,0.7596414947043507,0.78,0.963647791661976,324,329,20,4,E-GEOD-109979,Factor Value[time],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-109979/results/cell-plots,https://europepmc.org/article/MED/29427839,329,none advertised
GmGM,0.0018845250850416085,0.21305129666212197,2.0,0.11059400476712856,2.0,0.963647791661976,324,329,20,4,E-GEOD-109979,Factor Value[time],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-109979/results/cell-plots,https://europepmc.org/article/MED/29427839,329,none advertised
GmGM+nonpara,0.024842798273062294,0.1650449679591212,2.0,0.08898400959486043,2.0,0.963647791661976,324,329,20,4,E-GEOD-109979,Factor Value[time],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-109979/results/cell-plots,https://europepmc.org/article/MED/29427839,329,none advertised
Basic,0.002150593904228033,0.1309269186337788,1.96,0.06377753532725376,0.36000000000000004,0.963647791661976,324,329,20,4,E-GEOD-109979,Factor Value[time],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-109979/results/cell-plots,https://europepmc.org/article/MED/29427839,329,none advertised
EM,-0.074122473048372,0.06270277299254369,0.74,0.022180871153045546,0.86,0.2187248217634752,926,957,11,2,E-GEOD-89232,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-89232/results/cell-plots,https://europepmc.org/article/MED/27864467,957,none advertised
GmGM,0.045973228000877775,0.133530550923583,0.86,0.042186586158521444,0.86,0.2187248217634752,926,957,11,2,E-GEOD-89232,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-89232/results/cell-plots,https://europepmc.org/article/MED/27864467,957,none advertised
GmGM+nonpara,0.012459511892784169,0.13226263293217116,0.76,0.04075507843913182,0.7200000000000001,0.2187248217634752,926,957,11,2,E-GEOD-89232,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-89232/results/cell-plots,https://europepmc.org/article/MED/27864467,957,none advertised
Basic,0.0054679518427142495,0.05536495721010497,0.02,0.035629952202410754,0.32,0.2187248217634752,926,957,11,2,E-GEOD-89232,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-89232/results/cell-plots,https://europepmc.org/article/MED/27864467,957,none advertised
